Name,Latitude,Longitude,Altitude
CYRV,50.959,-118.179,1
EDKZ,51.1007,7.60348,1
EDPS,48.6835,13.6951,2
EDRZ,49.2174,7.40759,1
LFKX,45.4066,6.57819,5
LIDA,45.8871,11.5211,3
LIQM,46.2663,10.6063,6
LOGI,47.4922,14.4996,2
LOWI,47.2615,11.3561,1
LSGC,47.0868,6.79874,3
LSGK,46.4875,7.25615,3
LSZA,46.0094,8.91311,894.518
LSZE,47.0141,9.48399,1
LSZJ,47.1844,7.09377,2
LSZS,46.5405,9.88903,5
LZHA,48.759,18.7421,1
LZZL,49.1705,18.7796,1
EBSL,50.9552,5.60556,311.549
EDFB,50.3437,8.87851,409.761
ETHC,52.5924,10.0345,130.234
EDVE,52.3202,10.5742,297.969
EGWU,51.555,-0.409621,127.11
EGSV,52.4964,1.04786,167.38
EDLD,51.6165,6.86997,225.341
LFAB,49.8831,1.08415,354.321
LFGH,47.3597,2.91985,590.191
LFEF,47.339,0.949021,180.713
LFMS,44.0746,4.14349,595.782
LFUK,44.3278,6.03173,2
LETL,40.4,-1.21694,3
EEPU,58.4269,24.4832,67.3613
UKDO,52.0783,31.1308,454.328
LJAJ,45.8892,13.8815,383.827
UKAJ,45.3347,40.4128,293.921
LTBH,40.129,26.4171,37.0098
LB19,42.6012,26.645,537.852
LIRI,40.6225,14.9168,130.494
EDQP,49.8633,11.7919,1
EYMM,54.6689,23.4556,225.472
UKUT,46.4909,30.6193,209.423
UWPS,54.1344,45.2228,637.091
EFLA,61.1428,25.6856,504.768
EKSB,54.9579,9.80137,36.7318
LFCA,46.7809,0.550666,211.482
LPLZ,40.142,-8.23886,664.344
LFOR,48.4568,1.52409,508.905
LFRT,48.5423,-2.84445,441.634
LFSL,45.0369,1.49409,984.343
EIWF,52.192,-7.08393,109.122
EVDA,55.9482,26.6729,404.338
LHUD,46.2414,20.0919,275.652
LEHN,41.1086,-2.98533,3
LFKO,41.6601,8.89652,28.2791
LGIO,39.6925,20.8268,1
LHPR,47.6244,17.8154,434.308
LIPM,44.6303,10.8125,192.692
UMOO,53.9621,30.0836,623.528
EKVJ,55.9899,8.3633,22.8477
EDCV,53.5056,13.9543,89.7903
UKLT,49.5232,25.7096,1
LDRI,45.2245,14.5627,257.858
EDVU,52.9839,10.4703,238.885
ENFL,61.5837,5.0249,25.4046
EDDM,48.3444,11.7996,1
ENCN,58.2102,8.09324,56.4745
EDXR,54.2239,9.60407,35.1964
EGAD,54.5839,-5.68906,13.6606
EDVP,52.4033,10.2336,269.61
EGGL,53.4789,-2.62581,153.319
EPGY,52.8367,21.7824,413.874
UBOL,54.7877,37.6479,762.752
UYEA,55.794,52.1414,493.917
UBOU,49.9034,40.5254,251.221
UKFK,45.3748,36.411,165.997
UBSH,41.1311,47.1616,1
LFEA,47.3261,-3.19909,185.873
EDXQ,53.1289,9.35299,105.583
ENLB,62.234,8.24854,1
KSPZ,39.4054,-119.243,4
17V,40.6275,-102.595,4
16S,42.999,-123.313,619.725
7V2,38.8333,-107.64,5
TS65,31.3615,-100.61,1
K59,39.5678,-95.18,1
KDUH,41.7361,-83.6504,680.989
5J9,34.0896,-78.8602,106.984
